id,latitude,longitude,magnitude,time,catalog_id
40943,33.80168235175847,-117.08631832157313,2.8,2007-01-08 16:55:16.888109383,0
40944,37.9693921342876,-118.63180811267904,2.9,2007-01-08 18:39:53.532647010,0
40945,37.845684367924044,-122.23796881391077,3.0,2007-01-08 19:59:00.271506069,0
40946,37.88018447781127,-122.27124010745656,3.1,2007-01-08 20:00:43.030126723,0
40943,36.67442784447699,-121.30156215016358,2.8,2007-01-08 01:49:44.022229246,3
40944,38.14215737909875,-121.46019958042747,3.1,2007-01-08 05:14:06.075626000,6
40945,31.476189245835116,-115.79560430121172,3.5,2007-01-08 12:44:36.211869000,6
40946,37.4442824620301,-118.83895783857375,3.0,2007-01-08 16:08:59.302785930,6
40944,38.60784292821412,-119.9037365395523,3.3,2007-01-08 10:29:35.551544000,7
40945,36.2621615021144,-120.8412114967881,2.9,2007-01-08 13:08:45.686771000,7
40946,38.60444729564673,-119.90349836264996,2.9,2007-01-08 10:40:53.059168300,7
40947,32.689793120237184,-116.05463074771515,3.0,2007-01-08 03:47:00.643736024,7
40943,37.629062218933996,-118.88895888558478,3.3,2007-01-08 23:06:25.054259573,8
40944,36.846364755641865,-121.45898793539138,3.2,2007-01-08 21:42:06.473148774,8
40943,38.040208939771404,-118.68420169396944,2.8,2007-01-08 02:27:14.117112524,9
40944,37.51297629349355,-118.169261705284,2.8,2007-01-08 02:55:34.686721898,9
40943,36.812829690319084,-121.52171232063291,4.3,2007-01-08 20:52:20.111341150,10
40944,32.12129594031103,-115.82070915929651,2.9,2007-01-08 03:43:11.251876602,10
40944,41.39223803590617,-125.24220988830757,3.5,2007-01-08 16:49:40.577957000,11
40944,34.70312734769503,-121.36931472308973,2.9,2007-01-08 11:04:01.177283000,12
40945,33.755764741059735,-116.08752693687981,2.8,2007-01-08 06:23:25.356669050,12
40944,40.70531519366167,-122.46349131983821,3.8,2007-01-08 10:27:17.676061000,17
40945,39.34476031110555,-123.3089636617024,4.2,2007-01-08 02:42:54.754089300,17
40944,41.373530215808344,-125.03201632213727,3.6,2007-01-08 21:51:20.527471000,18
40945,32.68106896208485,-116.02730096906593,2.9,2007-01-08 11:40:50.738993012,18
40943,40.52848958151144,-124.0436862746828,2.8,2007-01-08 18:29:34.116618419,19
40943,34.3211934305613,-118.46274895487312,2.9,2007-01-08 18:46:34.591725343,21
40943,37.496470145637126,-118.18258259536074,3.3,2007-01-08 05:44:38.354794723,22
40944,37.49627971416522,-118.18362487689672,2.9,2007-01-08 18:04:28.020300574,22
40943,32.72157416692534,-116.8220624435716,3.3,2007-01-08 15:58:03.745778981,24
40944,33.70241677104618,-120.39123264856732,2.9,2007-01-08 04:07:48.702691000,26
40945,36.87902257341214,-121.62258043381622,3.4,2007-01-08 19:57:11.003205148,26
40943,38.00221108735112,-118.65867842372742,2.9,2007-01-08 11:53:17.726874804,27
40943,39.35736937546525,-123.23188467184013,3.0,2007-01-08 22:38:35.267972097,30
40943,34.76823294346796,-116.31971982759961,3.0,2007-01-08 02:25:20.374929081,31
40943,37.62365135591139,-118.8376272773516,3.4,2007-01-08 19:44:53.363193037,33
40944,37.36684558533715,-121.57348268658184,3.0,2007-01-08 07:13:42.191722055,33
40945,37.62312760528046,-118.83562444428284,2.8,2007-01-08 20:56:13.615162330,33
40946,37.619035459828915,-118.83207914764841,3.1,2007-01-08 20:58:25.928703637,33
40947,37.62252281783306,-118.83814738466432,3.6,2007-01-08 21:18:57.138573575,33
40943,36.00776436218386,-120.5121210760177,4.4,2007-01-08 22:53:15.336243542,36
40943,37.565568568449535,-118.73666248305018,3.1,2007-01-08 06:13:33.506257528,37
40944,35.025262584119176,-119.02118323013057,2.9,2007-01-08 07:27:25.266330735,37
40943,33.245275195959714,-116.00605415725606,2.8,2007-01-08 19:08:33.551816286,38
40943,37.97334259703542,-118.65967003480351,2.9,2007-01-08 13:13:26.615536001,39
40944,36.91806885244694,-120.76862948615107,4.3,2007-01-08 02:46:41.628846000,41
40945,34.35398628994633,-116.1278444760201,2.9,2007-01-08 19:39:36.470884676,41
40946,34.347646080329504,-116.13373947496017,3.4,2007-01-08 21:05:34.001119817,41
40943,33.17932745849146,-115.6185854097171,3.2,2007-01-08 11:00:21.366553171,42
40943,38.78770410771974,-122.73223402054302,3.2,2007-01-08 12:29:54.064918853,44
40943,33.029359498960275,-115.5901693818991,2.9,2007-01-08 04:03:22.089603091,45
40943,40.392293873651205,-125.33228150409903,3.9,2007-01-08 20:10:18.388938462,46
40944,33.23734817503238,-116.03901274336806,3.2,2007-01-08 08:04:54.066891299,46
40945,37.853313120731386,-122.25000760186445,2.9,2007-01-08 20:05:37.807971626,46
40944,34.14694363211629,-117.96282700961594,3.4,2007-01-08 14:28:55.474285000,47
40945,34.15165525541419,-117.95878591197531,2.8,2007-01-08 14:29:57.479780118,47
40946,34.14911046441403,-117.95092849658965,3.3,2007-01-08 21:48:17.212905444,47
40947,37.625266095625605,-118.92618953801549,3.1,2007-01-08 12:47:37.087928696,47
40948,38.76212007620211,-119.72438366478171,3.0,2007-01-08 02:58:38.208131998,47
40949,33.19677406898658,-115.64117892610504,2.9,2007-01-08 06:16:54.708366155,47
40950,32.244129768269985,-115.07869384879353,2.8,2007-01-08 05:55:15.612363976,47
40951,33.197549309192844,-115.63974942171565,3.8,2007-01-08 07:32:05.964867239,47
40944,35.672457804645205,-119.31253330880655,3.4,2007-01-08 09:26:11.078405000,48
40945,40.92270253154393,-124.08519285453274,3.4,2007-01-08 15:00:38.824837000,48
40946,40.92185190318207,-124.08616583603805,3.0,2007-01-08 15:04:17.738157139,48
40943,34.63874497667457,-116.24378453382846,2.9,2007-01-08 17:49:38.326305787,50
40943,32.533305860600095,-118.17894715516842,3.4,2007-01-08 01:49:39.302227829,51
40943,32.239249526158154,-115.26672216240115,3.5,2007-01-08 23:56:15.094563652,52
40943,37.410317666357564,-118.85397909536913,3.0,2007-01-08 11:54:47.135172615,53
40944,36.1022394482477,-119.65234178436981,3.4,2007-01-08 03:23:46.997112000,54
40945,36.06871197922768,-119.65113647370835,3.0,2007-01-08 04:17:56.245496718,54
40946,36.08182796365817,-119.65742191325631,2.8,2007-01-08 11:10:45.940488206,54
40947,33.704736663717945,-116.04878011554035,2.8,2007-01-08 04:34:18.099256097,54
40943,36.95748502859565,-121.70696246709133,3.2,2007-01-08 00:11:00.680188687,55
40944,37.85008714102484,-122.26145234838442,3.0,2007-01-08 21:35:45.604351084,55
40945,36.95349063147529,-121.71341618133978,3.0,2007-01-08 01:23:32.538939239,55
40946,36.95998473069064,-121.71950611670651,3.5,2007-01-08 01:30:17.172786769,55
40947,36.9510686926279,-121.68334691732456,2.9,2007-01-08 03:36:14.328911726,55
40948,36.96099168798155,-121.72896964480881,3.3,2007-01-08 06:47:59.646235017,55
